cmte_id,cand_id,,,cand_nm,recipient_nm, disb_amt ,disb_dt,recipient_city,recipient_st,recipient_zip,disb_desc,memo_cd,memo_text,form_tp,file_num,tran_id,election_tp,unused,serialid,FEC ID 
C00573519,P60005915,,,"Carson, Benjamin S.",CAMBRIDGE ANALYTICA,"$30,000.00",7/31/15,BEVERLY HILLS,CA,90211,WEB SERVICE,,,SB23,1029311,SB23.90766,,,16632,
C00573519,P60005915,,,"Carson, Benjamin S.",CAMBRIDGE ANALYTICA,"$100,000.00",5/1/15,BEVERLY HILLS,CA,90211,WEB SERVICE,,,SB23,1024324,SB23.10535,,,16675,
C00573519,P60005915,,,"Carson, Benjamin S.",CAMBRIDGE ANALYTICA,"$90,000.00",9/15/15,BEVERLY HILLS,CA,90211,DATABASE MANAGEMENT SERVICE,,,SB23,1029311,SB23.90254,,,16737,
C00573519,P60005915,,,"Carson, Benjamin S.",CAMBRIDGE ANALYTICA,"$55,000.00",1/6/16,NEW YORK,NY,10036,DATABASE MANAGEMENT SVC,,,SB23,1073637,SB235.823,,,21683,
C00573519,P60005915,,,"Carson, Benjamin S.",CAMBRIDGE ANALYTICA,"$163,065.09",1/4/16,NEW YORK,NY,10036,DATABASE MANAGEMENT SVC,,,SB23,1073637,SB235.824,,,21684,
C00574624,P60006111,,,"Cruz, Rafael Edward 'Ted'",CAMBRIDGE ANALYTICA,"$122,610.00",6/3/16,BEVERLY HILLS,CA,90211,DIGITAL SERVICE/WEB SERVICE,,,SB23,1096256,SB23.90962,,,26661,
C00574624,P60006111,,,"Cruz, Rafael Edward 'Ted'",CAMBRIDGE ANALYTICA,"$62,925.00",6/9/16,BEVERLY HILLS,CA,90211,VOTER ID TARGETING/WEB SERVICE,,,SB23,1096256,SB23.91003,,,26664,
C00574624,P60006111,,,"Cruz, Rafael Edward 'Ted'",CAMBRIDGE ANALYTICA,"$389,652.22",1/5/16,BEVERLY HILLS,CA,90211,DIGITAL MEDIA,,,SB23,1096260,SB239.90142,,,26693,
C00574624,P60006111,,,"Cruz, Rafael Edward 'Ted'",CAMBRIDGE ANALYTICA,"$243,047.45",1/4/16,BEVERLY HILLS,CA,90211,DIGITAL MEDIA/DONOR MODELING,,,SB23,1096260,SB239.90143,,,26694,
C00574624,P60006111,,,"Cruz, Rafael Edward 'Ted'",CAMBRIDGE ANALYTICA,"$8,400.00",5/19/16,BEVERLY HILLS,CA,90211,MEDIA,,,SB23,1079356,SB23.1362,,,26809,
C00574624,P60006111,,,"Cruz, Rafael Edward 'Ted'",CAMBRIDGE ANALYTICA,"$358,009.87",3/15/16,BEVERLY HILLS,CA,90211,MEDIA/VOTER MODELING,,,SB23,1077665,SB23.726,,,26871,
C00574624,P60006111,,,"Cruz, Rafael Edward 'Ted'",CAMBRIDGE ANALYTICA,"$250,449.00",3/22/16,BEVERLY HILLS,CA,90211,MEDIA/VOTER MODELING,,,SB23,1077665,SB23.727,,,26872,
C00574624,P60006111,,,"Cruz, Rafael Edward 'Ted'",CAMBRIDGE ANALYTICA,"$87,185.00",4/1/16,BEVERLY HILLS,CA,90211,MEDIA,,,SB23,1077664,SB23.9176,,,26890,
C00574624,P60006111,,,"Cruz, Rafael Edward 'Ted'",CAMBRIDGE ANALYTICA,"$476,910.17",2/5/16,BEVERLY HILLS,CA,90211,MEDIA/TRAVEL/DATA MANAGEMENT SERVICE,,,SB23,1071498,SB23.1360,,,27148,
C00574624,P60006111,,,"Cruz, Rafael Edward 'Ted'",CAMBRIDGE ANALYTICA,"$71,809.00",10/15/15,BEVERLY HILLS,CA,90211,DIGITAL MEDIA SERVICE/SURVEY RESEARCH/DO,,,SB23,1057556,SB23.90293,,,27463,
C00574624,P60006111,,,"Cruz, Rafael Edward 'Ted'",CAMBRIDGE ANALYTICA,"$100,000.00",12/22/15,BEVERLY HILLS,CA,90211,DIGITAL MEDIA SERVICE/SURVEY RESEARCH/DO,,,SB23,1057556,SB23.90294,,,27464,
C00574624,P60006111,,,"Cruz, Rafael Edward 'Ted'",CAMBRIDGE ANALYTICA,"$114,708.47",10/1/15,BEVERLY HILLS,CA,90211,DIGITAL MEDIA SERVICE/SURVEY RESEARCH/DO,,,SB23,1057556,SB23.90295,,,27465,
C00574624,P60006111,,,"Cruz, Rafael Edward 'Ted'",CAMBRIDGE ANALYTICA,"$300,000.00",12/23/15,BEVERLY HILLS,CA,90211,DIGITAL MEDIA SERVICE/SURVEY RESEARCH/DO,,,SB23,1057556,SB23.90296,,,27466,
C00574624,P60006111,,,"Cruz, Rafael Edward 'Ted'",CAMBRIDGE ANALYTICA,"$500,000.00",11/4/15,BEVERLY HILLS,CA,90211,DIGITAL MEDIA SERVICE/SURVEY RESEARCH/DO,,,SB23,1057556,SB23.90297,,,27467,
